address_type|increment_id|customer_id|customer_address_id|email|prefix|firstname|middlename|lastname|suffix|street|city|postcode|region|region_id|country_id|telephone|fax|company|vat_id
shipping|100000001|||ldobre@salmon.com||asdasda||asdasda||asdsada|23232|2323|asdsadsa||GB|23232||||
billing|100000001||1|ldobre@salmon.com||asdasda||asdasda||asdsada|23232|2323|asdsadsa||GB|23232||||
shipping|100000030|1||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|100000030|1|1|ldobre@salmon.com||asdasda||asdasda||asdsada|23232|2323|asdsadsa||GB|23232||||
shipping|100000031|1||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|100000031|1|1|ldobre@salmon.com||asdasda||asdasda||asdsada|23232|2323|asdsadsa||GB|23232||||
shipping|300000004|||||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000004|||ldobre@salmon.com||asdsa||sa||asdas|asdsa|asdsa|Ошская область|486|KG|233232||||
shipping|300000005|13||||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000005|13|11|ldobre@salmon.com||Liviu||Dobre||asdadsa|asdasda|asdsada|Ошская область|486|KG|222222||||
shipping|300000006|13||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000006|13|11|ldobre@salmon.com||Liviu||Dobre||asdadsa|asdasda|asdsada|Ошская область|486|KG|222222||||
shipping|300000007|13||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000007|13|11|ldobre@salmon.com||Liviu||Dobre||asdadsa|asdasda|asdsada|Ошская область|486|KG|222222||||
shipping|300000008|13||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000008|13|11|ldobre@salmon.com||Liviu||Dobre||asdadsa|asdasda|asdsada|Ошская область|486|KG|222222||||
shipping|300000009|13||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000009|13|11|ldobre@salmon.com||Liviu||Dobre||asdadsa|asdasda|asdsada|Ошская область|486|KG|222222||||
shipping|300000010|13||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000010|13|11|ldobre@salmon.com||Liviu||Dobre||asdadsa|asdasda|asdsada|Ошская область|486|KG|222222||||
shipping|400000010|1||ldobre@salmon.com||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|400000010|1|1|ldobre@salmon.com||asdasda||asdasda||asdsada|23232|2323|asdsadsa||GB|23232||||
shipping|300000016|||||John||Smith||140-142 Briggate|Leeds|LS1 6LS|||GB|01582 222222||||
billing|300000016||14|yyan@salmon.com||yan||yan||address line 1-address line 2|Сулюкта|sdsds|Баткенская область|491|KG|123456789||||
shipping|300000017|||||London||Store||64 Clarendon Road|London|WD17 1DA|||GB|5454545454||||
billing|300000017||15|sdsdsds@salmon.com||fdsf||dfsdf||sfsfsdf|Кызыл-Кия|dfdfsdfsdf|Баткенская область|491|KG|123456789||||
shipping|100000036|14|12|skhomenko@salmon.com||Sergii||Khomenko||64 Clarendon Rd Salmon Ltd|Waftord|WD17 1DA|Hertfordshire||RU|+447780712952||Salmon||
billing|100000036|14|12|skhomenko@salmon.com||Sergii||Khomenko||64 Clarendon Rd-Salmon Ltd|Waftord|WD17 1DA|Hertfordshire||RU|+447780712952||Salmon||
shipping|100000037|14|12|sergii.khomenko@gmail.com||Sergii||Khomenko||64 Clarendon Rd Salmon Ltd|Waftord|WD17 1DA|Hertfordshire||RU|+447780712952||Salmon||
billing|100000037|14|12|sergii.khomenko@gmail.com||Sergii||Khomenko||64 Clarendon Rd-Salmon Ltd|Waftord|WD17 1DA|Hertfordshire||RU|+447780712952||Salmon||
shipping|300000020|20||||г. Бишкек,||ул||Тыныстанова (165-3)|номер телефона|0553500888|Чуйская область|485|KG|0553500888||||
billing|300000020|20|17|a@b.cn||Fe||Test||Test|Баткен|Test|Баткенская область|491|KG|12345||||
shipping|300000021|20||a@b.cn||г. Бишкек,||ул||Тыныстанова (165-3)|номер телефона|0553500888|Чуйская область|485|KG|0553500888||||
billing|300000021|20|17|a@b.cn||Fe||Test||Test|Баткен|Test|Баткенская область|491|KG|12345||||
shipping|300000027|24||yanyandouble002@163.com||г. Бишкек,||ул||Тыныстанова (165-3)|номер телефона|0553500888|Чуйская область|485|KG|0553500888||||
billing|300000027|24|20|yanyandouble002@163.com||yan||yan||axxx|Кызыл-Кия|safsdfsd|Баткенская область|499|KG|123456789||||
